# This file was generated automatically by FeynRules.

kf       Mass         Width         3*e     Y     SU(3)     2*Spin     maj     on     stbl     m_on   IDName    TeXName
12       0.            .0            0      0       0          1        0       1       1       0       ve         ve
14       0.            .0            0      0       0          1        0       1       1       0       vm         vm
16       0.            .0            0      0       0          1        0       1       1       0       vt         vt
11       5.11E-4       .0            -3     0       0          1        0       1       1       1       e-         e-
13       1.0566E-1     .0            -3     0       0          1        0       1       1       1       m-         m-
15       1.777         .0            -3     0       0          1        0       1       1       1       tt-        tt-
2        2.55E-3       .0            2      0       3          1        0       1       1       1       u          u
4        1.42          .0            2      0       3          1        0       1       1       1       c          c
6        1.72E+2       1.50834       2      0       3          1        0       1       1       1       t          t
1        5.04E-3       .0            -1     0       3          1        0       1       1       1       d          d
3        1.01E-1       .0            -1     0       3          1        0       1       1       1       s          s
5        4.7           .0            -1     0       3          1        0       1       1       1       b          b
22       0.            .0            0      0       0          2       -1       1       1       0       A          A
23       9.11876E+1    2.4952        0      0       0          2       -1       1       1       1       Z          Z
24       7.98244E+1    2.085         3      0       0          2        0       1       1       1       W+         W+
21       0.            .0            0      0       8          2       -1       1       1       0       G          G
25       1.2E+2        5.75309E-3    0      0       0          0       -1       1       1       1       H          \phi
