       lS     MSdm     omega
8.25816    24.6912  0.00113
5.07333    40.0706  0.000407
6.04596    52.1704  0.000216
8.09941    50.6812  0.000397
4.9001     57.0342  8.19e-05
5.1338     84.2589  0.000279
2.01857    52.061   0.000228
1.97783    28.9512  0.00173
9.98977    75.0083  2.72e-05
2.71878    48.1706  0.000284
0.854299   75.0969  0.00318
9.19157    20.6998  0.00146
1.17135    29.6244  0.00458
5.61893    86.1968  0.000319
3.24717    56.9742  5.63e-05
9.70062    22.9592  0.00151
7.18665    82.6832  5.98e-05
1.43684    51.3778  0.000493
1.99498    47.7793  0.000445
0.248515   32.7394  0.0759
0.652994   85.1814  0.0184
1.99008    86.6608  0.00247
2.36593    30.3845  0.00116
4.20625    22.5208  0.000792
6.17322    74.7781  6.68e-05
7.39828    28.0988  0.000886
0.729235   74.2258  0.00379
6.90618    40.1206  0.000552
9.44854    68.5057  7.41e-06
9.56113    23.0987  0.00147
1.60035    35.1186  0.00193
7.41011    28.7375  0.000874
5.57518    92.7676  0.000558
8.79099    94.7721  0.000268
8.84088    82.7477  4.11e-05
7.90474    99.3185  0.000444
8.5507     68.6177  9.32e-06
3.14965    25.7994  0.000946
8.06729    28.649   0.000989
8.93754    64.3404  1.03e-06
0.867989   57.8144  0.000129
5.41492    75.7024  9.8e-05
5.19707    60.6977  2.9e-05
9.17889    60.077   0.000112
0.553313   69.5383  0.00245
9.97396    21.1977  0.00165
7.41625    37.5474  0.000673
8.95422    81.2696  2.44e-05
0.686997   28.862   0.0131
2.92972    46.2117  0.00032
5.02849    59.6306  4.35e-05
5.60026    44.4843  0.000347
4.00556    24.4     0.00077
8.0197     26.6018  0.00103
5.87708    96.2888  0.000647
9.761      32.7593  0.00121
3.65076    68.6447  4.91e-05
9.03226    71.3247  1.68e-05
6.21001    93.7162  0.000486
6.72364    51.7738  0.000265
9.89021    34.0292  0.0012
9.64817    85.9174  0.000109
3.09383    20.2902  0.00117
4.40765    76.1072  0.000153
5.14341    62.2389  4.65e-06
6.36786    29.0057  0.000725
7.35603    98.3316  0.00048
0.208466   28.5616  0.128
6.30224    57.3446  0.000116
6.0002     20.0366  0.000872
3.8533     44.8252  0.000295
5.8411     78.661   8.56e-05
2.3982     26.7095  0.00131
1.64527    42.2316  0.00113
2.865      42.127   0.000466
7.74174    30.8622  0.000879
5.46382    87.7736  0.000388
2.59691    88.7661  0.00178
0.191028   68.784   0.0155
7.96435    76.9094  5.24e-05
5.10923    69.8366  3.57e-05
4.52344    60.6931  2.27e-05
8.72298    53.9891  0.000334
0.37391    57.1817  0.00042
2.91711    95.2863  0.00233
2.21638    85.8614  0.00187
5.96357    39.5616  0.000473
4.90363    41.5745  0.000371
3.29599    68.0987  5.04e-05
3.69908    58.1909  4.4e-05
5.20986    30.5748  0.000601
7.7003     30.1746  0.000888
1.9969     57.8124  4.97e-05
5.79321    67.0011  1.13e-05
2.85891    21.2917  0.00114
7.37034    95.2568  0.000389
1.62127    67.1458  0.000142
1.78392    38.8314  0.00125
7.81178    49.4105  0.000408
6.03461    51.941   0.000221
4.76033    42.6223  0.000345
7.4934     98.4126  0.000466
3.06985    74.6007  0.000251
2.54201    80.2005  0.000245
3.38046    98.5462  0.00218
5.77139    71.4292  4.1e-05
7.98248    84.0377  0.000105
7.24994    31.1578  0.000796
6.07707    51.9339  0.000223
9.9682     30.1034  0.00135
4.07324    74.845   0.000151
4.81875    66.2291  1.16e-05
4.43056    86.9959  0.000543
8.81144    61.7798  3.27e-05
2.70908    39.6147  0.000599
3.60049    44.9322  0.000301
2.18698    23.8782  0.00174
9.04715    32.773   0.00107
2.75164    34.415   0.00074
3.58208    78.0534  0.00024
7.32194    67.5984  8.99e-06
0.962247   64.0633  6.18e-05
5.58228    30.5659  0.000622
3.74791    28.8101  0.000698
3.98007    46.8044  0.00025
0.795541   74.708   0.00345
7.94121    53.6656  0.000292
4.4776     84.2617  0.000364
9.47599    61.065   7.25e-05
2.50089    79.128   0.000378
8.88832    44.7219  0.000671
5.25297    31.0759  0.000593
8.35936    34.0085  0.000905
3.53968    93.8457  0.00145
4.30693    81.5371  0.000109
7.06775    53.926   0.000232
5.57991    98.0518  0.000804
8.97107    74.0191  2.87e-05
6.04069    95.0557  0.000564
3.67911    94.0173  0.00136
2.21684    53.5316  0.000162
4.75706    21.2571  0.000787
2.27946    53.3372  0.000162
0.0802445  53.4941  0.0171
5.72774    71.7847  4.49e-05
8.93113    50.8244  0.000467
3.7998     35.9681  0.00051
3.57714    98.2584  0.00192
9.29842    90.6064  0.000176
6.06199    85.2095  0.000251
6.75337    82.6048  6.51e-05
6.7299     30.7725  0.000733
3.80608    70.0052  6.59e-05
6.29265    27.658   0.000743
4.53215    92.3637  0.000807
9.96771    68.2488  6.16e-06
2.54147    48.7931  0.000287
4.38587    41.466   0.000363
8.5871     36.6101  0.000872
8.50251    84.3103  0.000108
0.77088    31.9283  0.00916
3.31636    85.0066  0.000791
2.45898    50.0214  0.000255
6.75628    25.6681  0.000842
5.2037     39.575   0.000423
3.8815     77.2618  0.000211
5.09785    37.5405  0.000459
9.6062     84.8422  9.96e-05
6.9671     50.3317  0.000316
0.949825   70.5853  0.00112
9.98889    93.9649  0.000197
7.94812    72.1064  2.54e-05
1.92575    63.3569  6.27e-06
9.63073    65.6647  2.24e-06
9.44629    88.1009  0.000139
5.27464    94.4487  0.000702
2.90861    27.1066  0.000984
2.49773    88.2912  0.00184
1.68473    86.3613  0.00332
1.24973    23.0344  0.00522
0.805078   81.9731  0.0032
3.35991    45.3148  0.000305
5.58728    75.6944  9.21e-05
9.69531    81.7572  2.39e-05
7.9938     64.6335  1.64e-06
0.820366   41.144   0.00465
5.74243    92.5653  0.000519
0.497739   29.2876  0.0237
9.72193    66.5521  3.41e-06
3.33157    60.0568  1.95e-05
9.64983    68.2137  6.48e-06
5.95405    88.8843  0.000361
4.73143    21.9657  0.000771
1.87996    99.5095  0.00718
3.75679    47.2133  0.000243
4.27963    71.601   7.6e-05
6.44402    61.8549  1.62e-05
9.52651    62.4818  1.21e-06
5.97179    53.667   0.000181
0.914328   74.226   0.00245
0.685064   80.4191  0.00314
0.419098   45.1725  0.0117
5.07549    44.5436  0.000318
3.52482    28.3945  0.000752
7.50416    75.2269  4.89e-05
5.19903    35.2656  0.000509
7.1081     28.3918  0.000835
0.412719   81.3402  0.00979
6.29782    88.7552  0.000321
5.26892    83.9821  0.000229
9.06667    36.5514  0.000956
6.96988    70.7533  2.44e-05
9.38105    86.9507  0.000127
5.26572    77.885   0.000116
2.89593    67.6367  5.53e-05
3.08129    39.4049  0.000514
1.50584    27.6198  0.00308
7.2407     48.9937  0.00037
4.57439    95.1476  0.00097
3.6821     37.6096  0.00048
7.1051     20.7195  0.00101
1.25445    64.0112  3.49e-05
3.16905    39.5453  0.000493
8.97033    44.3736  0.000693
5.98558    32.5711  0.000615
1.53332    95.1791  0.008
2.9214     85.9814  0.00111
9.96405    83.8698  6.27e-05
8.75992    33.8285  0.000981
1.06557    75.7324  0.00225
7.11344    93.8223  0.000376
4.17838    72.4136  9.4e-05
1.43322    27.9155  0.00335
2.01818    65.0566  3.27e-05
2.20155    49.8706  0.000281
7.20149    31.7754  0.000775
0.458392   39.7601  0.0156
3.79846    54.8703  9.41e-05
6.07927    76.4723  8.52e-05
7.96347    48.8939  0.000437
1.91607    77.9312  0.0008
9.90485    44.6404  0.000815
3.41574    72.7137  0.000147
8.20423    70.0257  1.49e-05
6.84931    82.674   6.54e-05
6.07813    93.6817  0.000505
2.1704     24.1514  0.00175
2.56128    38.7409  0.000628
7.58263    55.8157  0.000207
1.73456    65.4082  5.48e-05
6.56598    24.1543  0.000849
6.90567    36.951   0.000622
9.61156    32.5689  0.00119
1.86605    39.5652  0.00109
3.41918    46.944   0.00026
5.08505    78.6251  0.000112
5.56805    59.0555  6.24e-05
7.44196    98.6864  0.00048
8.43581    22.0405  0.00123
1.35694    31.8436  0.00313
2.53397    93.1176  0.00262
5.32301    73.6633  7.41e-05
5.25194    40.907   0.000399
4.64762    84.4529  0.00038
2.13201    83.443   0.00101
9.11783    29.327   0.00118
4.2741     70.2304  5.57e-05
5.68661    58.3807  7.75e-05
4.07373    86.2685  0.000598
5.14616    52.0263  0.000178
8.4848     59.9621  0.000101
5.07575    53.0869  0.000155
1.70444    83.5264  0.00165
4.64517    81.1843  8.59e-05
4.47672    45.6452  0.000277
5.69261    22.2108  0.000796
1.26988    83.9141  0.00348
5.57581    30.0926  0.000631
8.58512    99.3925  0.000381
6.31811    62.4516  1.48e-06
5.27997    74.1708  8.21e-05
8.61371    99.8767  0.000389
8.42342    23.1223  0.0012
