        lS     MSdm       omega
3.24643     48.8178    0.000222
4.14847     93.4043    0.00103
8.90026     80.7745    2.23e-05
5.68268     76.7467    9.92e-05
7.29519     64.2947    1.47e-06
1.45742     23.1847    0.00388
2.31725     59.8933    1.61e-05
9.16301     91.081     0.000188
3.3692      35.6292    0.000576
6.78951     36.6927    0.000614
1.66797     57.6285    6.27e-05
5.08398     28.2081    0.000643
8.51887     82.603     4.14e-05
1.00265     85.2488    0.00813
0.528468    82.838     0.0104
0.141091    28.8154    0.264
1.59155     76.601     0.00113
7.54272     53.4403    0.000273
7.37096     63.857     9.18e-07
7.46314     24.6547    0.000975
4.38691     26.9036    0.000677
0.4065      87.3138    0.0556
0.195611    47.0446    0.0405
2.75935     36.059     0.000706
1.92829     64.6191    2.61e-05
6.71484     42.3912    0.000481
1.70048     41.92      0.00109
5.30428     41.5725    0.000388
5.90624     28.2102    0.000694
7.72478     59.3247    0.000105
4.67991     52.7091    0.000149
7.77573     58.5418    0.000131
7.39823     48.158     0.000406
3.40393     65.9442    1.98e-05
3.41942     36.5847    0.00054
9.72422     43.1192    0.000846
6.33332     77.913     8.16e-05
8.3808      45.6345    0.000579
8.20859     34.2771    0.000872
6.52519     72.5337    4.06e-05
3.31412     63.3567    2.16e-06
4.94995     48.1859    0.000242
1.59771     62.1637    1.07e-06
2.03466     23.0368    0.00206
4.20039     86.4223    0.000572
2.46786     35.6852    0.000815
3.7793      31.9795    0.000613
2.33962     68.8503    0.000124
9.79406     52.4461    0.000482
6.47161     44.9016    0.000403
0.881913    62.5049    8.46e-08
9.84381     82.0958    2.57e-05
5.32233     59.4512    5.1e-05
4.50718     45.745     0.000276
4.41839     36.9048    0.00046
5.95236     50.0336    0.000255
5.36647     43.9778    0.000344
1.15534     56.6584    0.000166
1.50505     76.5361    0.00125
4.91811     26.0159    0.000684
7.33269     22.0083    0.00102
9.48848     28.6614    0.00128
9.81711     81.921     2.44e-05
5.92743     56.3138    0.000125
2.06794     79.8443    0.000387
7.82563     82.8056    5.37e-05
3.53096     49.4213    0.000199
0.366162    58.5678    0.000119
5.61341     34.1354    0.000555
0.272412    98.599     0.277
4.34933     90.495     0.000756
7.18373     55.8761    0.000186
6.00169     76.0696    8.39e-05
8.48739     69.5056    1.22e-05
8.55929     68.7876    9.79e-06
3.89774     63.3067    1.43e-06
8.95599     95.7201    0.000276
4.84385     68.5993    2.8e-05
8.93223     43.364     0.000721
8.06479     75.0628    4.16e-05
5.33696     64.9125    4.45e-06
7.86852     98.2292    0.000419
7.5019      81.8252    4.01e-05
9.29469     25.6422    0.00133
1.95901     49.6143    0.00036
6.36822     23.1934    0.000844
9.18932     24.3075    0.00134
5.68265     52.9169    0.000183
7.63463     32.4614    0.000824
7.71034     36.0419    0.00075
4.54396     50.9722    0.000177
9.20521     40.8113    0.000845
